fix fLANG all langevin 1.0 1.0 1.0 100
neigh_modify exclude molecule/intra all
fix rigidNVE linked_vesicle rigid/nve molecule
  1 rigid bodies with 5 atoms
fix NVE synapsin nve 1.0 1.0 1.0

    ##======================================##
    ## Output
    ##======================================##

thermo 1000
thermo_style custom step temp press etotal epair
thermo_modify flush yes
timestep 0.01

    ##======================================##
    ## Equilibration before output
    ##======================================##


    ##======================================##
    ## Run with output
    ##======================================##

fix enforce_2d all enforce2d
dump 2 all custom 1000 Results_eps_attr1.3_eps_rep1_range2_attr_with_repFalse_n_synapsin400_n_vesicles1/Movie_2d_eps_attr1.3_eps_rep1_range2_attr_with_repFalse_n_synapsin400_n_vesicles1.xyz id type mol x y z
run 1000000
Generated 0 of 3 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 1 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11.52462
  ghost atom cutoff = 11.52462
  binsize = 5.7623102, bins = 55 55 1
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair cosine/squared, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 8.526 | 8.526 | 8.526 Mbytes
   Step          Temp          Press          TotEng         E_pair    
         0   0.99441908    -0.013071225    0.98336998     0            
      1000   1.052877       0.0040548885   1.0411809      2.5044906e-06
      2000   0.97902644     0.0030040622   0.96849889     0.00035052091
      3000   1.0601207      0.0035583022   1.0483416      0            
      4000   1.0466423      0.0043625821   1.0350129      0            
      5000   1.0005436      0.0035020426   0.98945454     2.8061539e-05
      6000   0.97028404     0.0030784247   0.95950311     0            
      7000   0.9429228      0.0035389451   0.9342467      0.001800821  
      8000   1.070792       0.0042930144   1.0588943      0            
      9000   1.099818       0.0040939823   1.0875978      0            
     10000   1.0641275      0.0047774095   1.0521293     -0.00017452974
     11000   0.9617883      0.0044412262   0.95110176     0            
     12000   0.92920507     0.0051591732   0.91888057     0            
     13000   0.95567106     0.0032720615   0.9450525      0            
     14000   1.060619       0.0040579948   1.0488344      0            
     15000   0.96710242     0.0039746882   0.95635684     0            
     16000   0.96329422     0.0041685692   0.95261944     2.8488409e-05
     17000   1.0127921      0.0043896097   1.0014324     -0.00010648155
     18000   1.0862883      0.00471201     1.0714914     -0.0027269638 
     19000   0.99286416     0.0040330564   0.98183233     0            
     20000   0.97970884     0.003804451    0.96882318     0            
     21000   0.95950403     0.004874189    0.95175614     0.0029132613 
     22000   0.90252694     0.0039632846   0.89249886     0            
     23000   0.91012442     0.0039479565   0.89405289    -0.005959033  
     24000   0.95655859     0.0040053497   0.94593016     0            
     25000   0.94943845     0.005378768    0.93888913     0            
     26000   0.96867413     0.0034644714   0.9559695     -0.0019415801 
     27000   1.0000439      0.0035190999   0.98835935    -0.00057298659
     28000   1.0278124      0.003962138    1.0163922      0            
     29000   1.037834       0.0047982913   1.0248056     -0.0014969186 
     30000   0.9609569      0.0034869405   0.94625093    -0.0040286735 
     31000   0.98053336     0.0038476828   0.96792324    -0.0017153102 
     32000   1.0557484      0.0048073332   1.0382375     -0.0057803756 
     33000   1.0389571      0.0039833812   1.0247404     -0.0026726608 
     34000   0.95892329     0.0047984675   0.94826858     0            
     35000   1.0463599      0.0045694496   1.0347337      0            
     36000   0.99148283     0.0033335412   0.98079994     0.00033358873
     37000   1.0155863      0.0043698824   1.0043225      2.0573522e-05
     38000   0.99905809     0.0039267273   0.98854887     0.00059142001
     39000   0.90365661     0.0031152718   0.89361598     0            
     40000   1.0364274      0.0042538235   1.0249116      0            
     41000   0.93166761     0.0042526936   0.92201681     0.00070106786
     42000   1.0381929      0.0044045513   1.0266574      0            
     43000   0.99003096     0.0035142354   0.98558921     0.0065585956 
     44000   1.0450992      0.0046059523   1.033487       0            
     45000   1.0365517      0.0042880656   1.0250345      0            
     46000   1.0609484      0.0039928646   1.0491601      0            
     47000   0.98706277     0.0034766174   0.97609541     0            
     48000   1.0663667      0.0040932776   1.0513995     -0.0031186669 
     49000   0.9996801      0.0039892675   0.98857255     0            
     50000   0.95675725     0.0031129891   0.94612661     0            
     51000   1.0236768      0.0038113438   1.0123026      0            
     52000   1.1035302      0.0040965324   1.0912688      0            
     53000   1.0351266      0.0044999102   1.0234466     -0.0001786179 
     54000   1.0707486      0.0044802282   1.0590346      0.00018322049
     55000   0.99479672     0.0049433312   0.98374343     0            
     56000   1.0459539      0.0043901224   1.0343322      0            
     57000   0.99450148     0.0035109439   0.98518719     0.0017357271 
     58000   0.97554482     0.0039842681   0.96470543     0            
     59000   1.0088646      0.0050203435   0.99765499     0            
     60000   1.0150062      0.0042380784   1.0036007     -0.00012769502
     61000   1.0501381      0.0045127795   1.0384699      0            
     62000   0.98114036     0.0041126709   0.9702388      0            
     63000   1.0699428      0.0041055883   1.0580545      0            
     64000   0.98723526     0.0034369012   0.97626598     0            
     65000   1.0520586      0.0049162183   1.0403691      0            
