fix fLANG all langevin 1.0 1.0 1.0 100
neigh_modify exclude molecule/intra all
fix rigidNVE linked_vesicle rigid/nve molecule
  1 rigid bodies with 5 atoms
fix NVE synapsin nve 1.0 1.0 1.0

    ##======================================##
    ## Output
    ##======================================##

thermo 1000
thermo_style custom step temp press etotal epair
thermo_modify flush yes
timestep 0.01

    ##======================================##
    ## Equilibration before output
    ##======================================##


    ##======================================##
    ## Run with output
    ##======================================##

fix enforce_2d all enforce2d
dump 2 all custom 1000 Results_eps_attr10_eps_rep1_range2_attr_with_repTrue_n_synapsin400_n_vesicles1/Movie_2d_eps_attr10_eps_rep1_range2_attr_with_repTrue_n_synapsin400_n_vesicles1.xyz id type mol x y z
run 1000000
Generated 0 of 3 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 1 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11.52462
  ghost atom cutoff = 11.52462
  binsize = 5.7623102, bins = 55 55 1
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair cosine/squared, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 8.526 | 8.526 | 8.526 Mbytes
   Step          Temp          Press          TotEng         E_pair    
         0   0.99441908    -0.013071225    0.98336998     0            
      1000   1.052877       0.0040548885   1.0411809      2.5044906e-06
      2000   0.97902644     0.0030040622   0.96849889     0.00035052091
      3000   1.0601207      0.0035583022   1.0483416      0            
      4000   1.0466423      0.0043625821   1.0350129      0            
      5000   1.0005436      0.0035020426   0.98945454     2.8061539e-05
      6000   0.97028404     0.0030784247   0.95950311     0            
      7000   0.9429228      0.0035389451   0.9342467      0.001800821  
      8000   1.070792       0.0042930144   1.0588943      0            
      9000   1.099818       0.0040939823   1.0875978      0            
     10000   1.064277       0.0047931011   1.0524517      0            
     11000   0.96179056     0.0044418403   0.951104       0            
     12000   0.92642342     0.0057289913   0.89246103    -0.023668789  
     13000   0.94732276     0.0035572068   0.8973518     -0.039445152  
     14000   1.0538326      0.0047848782   0.99499656    -0.04712678   
     15000   0.95597058     0.0039241397   0.90057279    -0.044775891  
     16000   0.97844323     0.0048975587   0.92947412    -0.038097527  
     17000   1.0040565      0.0038338923   0.94843261    -0.044467707  
     18000   1.0986859      0.0044863596   1.0201429     -0.066335401  
     19000   1.0039617      0.0032692922   0.93249721    -0.060309394  
     20000   0.9817922      0.0034497582   0.89960661    -0.071276789  
     21000   0.95898126     0.0038645201   0.88235512    -0.065970793  
     22000   0.9006651      0.0042558924   0.81946686    -0.071190848  
     23000   0.90843149     0.0036031187   0.8053125     -0.093025314  
     24000   0.94650558     0.004646884    0.8445816     -0.091407247  
     25000   0.95403654     0.00365455     0.85208427    -0.091351864  
     26000   0.9636951      0.0044236626   0.86246763    -0.090519749  
     27000   0.99675051     0.0039037411   0.89927132    -0.086404184  
     28000   1.0303311      0.004627565    0.92934755    -0.089535394  
     29000   1.0385385      0.005109758    0.91659949    -0.11039967   
     30000   0.9634999      0.0039027887   0.82142104    -0.13137331   
     31000   0.98998373     0.004490125    0.83472032    -0.1442636    
     32000   1.0570373      0.0032424272   0.91316269    -0.13212979   
     33000   1.0161126      0.0032439454   0.8744121     -0.1304104    
     34000   0.95999682     0.0040126255   0.81082288    -0.13850731   
     35000   1.0429109      0.003788398    0.90081509    -0.13050789   
     36000   0.98778782     0.0043202843   0.84174439    -0.13506801   
     37000   1.0220952      0.0034664627   0.87787528    -0.13286331   
     38000   0.99538124     0.0043871025   0.85412336    -0.13019808   
     39000   0.90134575     0.0039539659   0.75391537    -0.13741542   
     40000   1.0406376      0.0043615828   0.89970746    -0.1293675    
     41000   0.93769857     0.0029558459   0.76267435    -0.16460535   
     42000   1.0385582      0.0051850267   0.85024629    -0.17677237   
     43000   0.98479357     0.0034629392   0.79590092    -0.1779505    
     44000   1.0564456      0.0081266781   0.87249302    -0.17221433   
     45000   1.0340465      0.0042970347   0.83286753    -0.18968956   
     46000   1.0490885      0.0037351338   0.81561741    -0.2218146    
     47000   0.98297948     0.0037924111   0.75937042    -0.21268706   
     48000   1.0614058      0.0039004515   0.82772732    -0.22188506   
     49000   0.99523113     0.0046309024   0.77775976    -0.20641325   
     50000   0.95737484     0.0027577591   0.73011452    -0.21662283   
     51000   0.99521716     0.0048118339   0.73560801    -0.24855118   
     52000   1.1068986      0.004830205    0.85862421    -0.23597556   
     53000   1.0325625      0.0037617781   0.78527802    -0.23581158   
     54000   1.0675569      0.0053682121   0.81473631    -0.24095889   
     55000   0.99175878     0.0043361271   0.71817605    -0.26256319   
     56000   1.038184       0.0032937234   0.75115573    -0.27549289   
     57000   0.99506418     0.007880086    0.71585841    -0.26814951   
     58000   0.96887249     0.0038031409   0.69728629    -0.26082095   
     59000   1.0173104      0.0035056001   0.75386965    -0.25213732   
     60000   1.0288147      0.0043797856   0.75820793    -0.25917546   
     61000   1.0475871      0.0073394522   0.78869211    -0.24725511   
