Step          Temp          Press          TotEng         E_pair    
        0   0.77849555    -0.00050557682  0.077849555    0            
     1000   4.4904137      1.680301e-06   0.44904137     0            
     2000   0.45195617    -6.105091e-07   0.045195617    0            
     3000   4.6565424      1.1457233e-05  0.46565424     0            
     4000   6.4813328      5.9773072e-07  0.64813328     0            
     5000   1.6815522     -6.3661437e-06  0.16815522     0            
     6000   2.5245271     -2.1845678e-06  0.25245271     0            
     7000   1.8753805     -3.3783846e-06  0.18753805     0            
     8000   2.4740393     -5.9938893e-06  0.24740393     0            
     9000   1.9274279     -2.9877799e-06  0.19274279     0            
    10000   0.30882273     1.2764845e-05  0.030882273    0            
    11000   1.8207949     -7.7747295e-06  0.18207949     0            
    12000   1.6545482     -1.8900249e-07  0.16545482     0            
    13000   2.3271048      2.7007425e-06  0.23271048     0            
    14000   1.7469096      3.8459509e-06  0.17469096     0            
    15000   1.4237464      2.4360806e-06  0.14237464     0            
    16000   1.7374401      1.3717832e-06  0.17374401     0            
    17000   4.6983136      1.0427861e-06  0.46983136     0            
    18000   0.43407608    -4.2172027e-07  0.043407608    0            
    19000   3.1890258     -5.2803286e-06  0.31890258     0            
    20000   5.86582       -4.1232635e-06  0.586582       0            
    21000   4.2269479      9.6496314e-06  0.42269479     0            
    22000   0.52848864    -3.2885897e-07  0.052848864    0            
    23000   2.7914458     -3.3422155e-06  0.27914458     0            
    24000   4.5261586      4.0149987e-06  0.45261586     0            
    25000   7.7734115      5.2071526e-06  0.77734115     0            
    26000   2.9350187     -8.2207419e-06  0.29350187     0            
    27000   0.78867419    -1.3466968e-06  0.078867419    0            
    28000   2.2421165     -1.6626687e-06  0.22421165     0            
    29000   5.2611813      2.9405791e-06  0.52611813     0            
    30000   0.33312585     6.0904217e-06  0.033312585    0            
    31000   1.9061875     -2.9156575e-06  0.19061875     0            
    32000   5.668293      -4.3622843e-06  0.5668293      0            
    33000   2.6295351     -6.8549678e-07  0.26295351     0            
    34000   5.1520177      1.089092e-05   0.51520177     0            
    35000   3.1628909     -1.4508321e-06  0.31628909     0            
    36000   2.2148045      1.2158834e-07  0.22148045     0            
    37000   8.9083467     -8.4205453e-06  0.89083467     0            
    38000   6.2689254      2.1749471e-06  0.62689254     0            
    39000   1.6026563     -3.3293822e-06  0.16026563     0            
    40000   0.8150313     -7.3419907e-06  0.08150313     0            
    41000   2.4823691     -2.3419903e-06  0.24823691     0            
    42000   1.9465512      3.9760444e-06  0.19465512     0            
    43000   1.0458239      5.2787848e-06  0.10458239     0            
    44000   2.6845736     -1.0708022e-06  0.26845736     0            
    45000   1.0983614     -4.1907416e-07  0.10983614     0            
    46000   15.304175      2.9437603e-06  1.5304175      0            
    47000   0.29689056     5.1871934e-06  0.029689056    0            
    48000   1.5757556     -1.3267873e-06  0.15757556     0            
    49000   1.7393851      5.8986043e-07  0.17393851     0            
    50000   5.0489678      7.3345451e-06  0.50489678     0            
    51000   2.5468522     -1.6794594e-06  0.25468522     0            
    52000   0.92582878    -1.1945142e-06  0.092582878    0            
    53000   1.3032625      4.140176e-08   0.13032625     0            
    54000   0.059485576    2.0598784e-06  0.0059485576   0            
    55000   2.9971797      2.4670215e-06  0.29971797     0            
    56000   8.4048418      6.1285426e-06  0.84048418     0            
    57000   3.8975729     -6.2946002e-06  0.38975729     0            
    58000   5.6249412     -1.0431729e-05  0.56249412     0            
    59000   0.40199801     3.586641e-06   0.040199801    0            
    60000   2.4418922      1.3545038e-06  0.24418922     0            
    61000   5.6110918     -2.0504962e-06  0.56110918     0            
    62000   0.68330871    -1.1633126e-05  0.068330871    0            
    63000   1.4989255     -8.0267877e-07  0.14989255     0            
    64000   3.1597734      4.1009669e-06  0.31597734     0            
    65000   2.5063543     -1.8712352e-06  0.25063543     0            
    66000   5.166018       3.1904487e-07  0.5166018      0            
    67000   3.9048388     -6.3258813e-06  0.39048388     0            
    68000   1.1669196     -6.6243539e-06  0.11669196     0            
    69000   0.38352953     2.6584434e-06  0.038352953    0            
    70000   2.113164       1.4555805e-08  0.2113164      0            
    71000   6.0443393      4.8219174e-06  0.60443393     0            
    72000   0.99439753     1.0361241e-05  0.099439753    0            
    73000   1.3137709      2.8513549e-06  0.13137709     0            
    74000   1.8610571      7.5894033e-06  0.18610571     0            
    75000   5.2354178     -1.8753355e-06  0.52354178     0            
    76000   0.09516879     1.6936486e-06  0.009516879    0            
    77000   1.3150145     -3.7028364e-06  0.13150145     0            
    78000   9.8473851     -4.4694186e-06  0.98473851     0            
    79000   2.6642738      5.1989442e-06  0.26642738     0            
    80000   0.33540656    -6.2041219e-06  0.033540656    0            
    81000   3.8323727     -8.5885313e-06  0.38323727     0            
    82000   1.0824927     -3.280778e-06   0.10824927     0            
    83000   1.0160509     -6.4570836e-06  0.10160509     0            
    84000   2.2497023     -1.3269555e-06  0.22497023     0            
    85000   0.25237064    -6.3782791e-06  0.025237064    0            
    86000   0.15470271    -6.5699267e-06  0.015470271    0            
    87000   2.3272449      7.3553662e-06  0.23272449     0            
    88000   5.9703109      3.6104602e-06  0.59703109     0            
    89000   0.0309849     -5.8048611e-06  0.00309849     0            
    90000   1.1538902      1.8060718e-06  0.11538902     0            
    91000   4.0927797      5.7036969e-06  0.40927797     0            
    92000   2.8968359     -2.9938522e-06  0.28968359     0            
