   Step          Temp          Press          TotEng         E_pair
         0   0.77849555    -0.00051671633  0.077849555    0
      1000   4.4807449      1.6306358e-06  0.44807449     0
      2000   0.46623968    -3.9936112e-07  0.046623968    0
      3000   4.6670249      1.2240041e-05  0.46670249     0
      4000   6.404852       4.5502516e-07  0.6404852      0
      5000   1.6799669     -6.9554735e-06  0.16799669     0
      6000   2.4965215     -3.0063209e-06  0.24965215     0
      7000   1.8788507     -3.8984238e-06  0.18788507     0
      8000   2.4877491     -6.6326686e-06  0.24877491     0
      9000   1.9661098     -3.2113391e-06  0.19661098     0
     10000   0.32132398     1.3572931e-05  0.032132398    0
     11000   1.8216295     -8.2964646e-06  0.18216295     0
     12000   1.6539458     -1.2419562e-07  0.16539458     0
     13000   2.2457519      3.0304494e-06  0.22457519     0
     14000   1.7928505      4.0252551e-06  0.17928505     0
     15000   1.4560756      2.5636714e-06  0.14560756     0
     16000   2.2984281     -2.682652e-06   0.22984281     0
     17000   1.5447324     -9.8781665e-08  0.15447324     0
     18000   0.626149      -5.1978945e-06  0.0626149      0
     19000   3.5064016     -5.6208173e-06  0.35064016     0
     20000   5.856642      -4.4160151e-06  0.5856642      0
     21000   4.2311327      1.0331188e-05  0.42311327     0
     22000   0.50954897    -2.2807526e-07  0.050954897    0
     23000   2.7739096     -3.578488e-06   0.27739096     0
     24000   4.714886       6.3724316e-06  0.4714886      0
     25000   8.2818939      6.2161859e-06  0.82818939     0
     26000   2.6124966     -8.9153053e-06  0.26124966     0
     27000   0.78131173    -1.9425521e-07  0.078131173    0
     28000   2.0883348      1.0530369e-05  0.20883348     0
     29000   5.8463693      2.4358783e-06  0.58463693     0
     30000   0.4015116      5.6293971e-06  0.04015116     0
     31000   1.6623043      2.9993972e-07  0.16623043     0
     32000   4.9871337     -3.7202767e-06  0.49871337     0
     33000   3.0817073      1.8238564e-06  0.30817073     0
     34000   5.7188152      4.3897135e-07  0.57188152     0
     35000   2.8019729      1.0410226e-07  0.28019729     0
     36000   2.3905116      1.8443091e-06  0.23905116     0
     37000   10.459478     -9.2690868e-06  1.0459478      0
     38000   6.4675621      2.8500558e-06  0.64675621     0
     39000   1.3975513     -3.0371444e-06  0.13975513     0
     40000   1.9692237      7.3447398e-07  0.19692237     0
     41000   2.3234449     -7.694323e-06   0.23234449     0
     42000   2.4096432      8.2997784e-06  0.24096432     0
     43000   0.53688183    -3.9507782e-06  0.053688183    0
     44000   4.6445695      5.0191548e-06  0.46445695     0
     45000   1.0764857     -2.3311002e-06  0.10764857     0
     46000   14.389143      5.8770277e-06  1.4389143      0
     47000   0.31704998    -7.0471795e-06  0.031704998    0
     48000   1.6126645     -1.4028881e-06  0.16126645     0
     49000   0.3502076      7.2335338e-06  0.03502076     0
     50000   3.5070709      9.8245053e-06  0.35070709     0
     51000   1.7465754      5.9943684e-06  0.17465754     0
     52000   1.2296807     -9.2502491e-06  0.12296807     0
     53000   8.8713319     -5.8504834e-06  0.88713319     0
     54000   0.91895244     8.7655516e-06  0.091895244    0
     55000   2.7025433      4.2021948e-06  0.27025433     0
     56000   6.7673402     -2.6149751e-06  0.67673402     0
     57000   3.9141318     -6.7203452e-06  0.39141318     0
     58000   5.5907061     -1.0728961e-05  0.55907061     0
     59000   0.43066355     5.2088388e-06  0.043066355    0
     60000   2.4696191     -8.6187417e-07  0.24696191     0
     61000   5.3688715     -6.7875033e-06  0.53688715     0
     62000   0.44446241    -1.2254138e-05  0.044446241    0
     63000   2.2936143     -2.8407416e-06  0.22936143     0
     64000   2.804894       4.8093219e-06  0.2804894      0
     65000   1.6211734     -6.6188981e-06  0.16211734     0
     66000   5.229995      -8.9463188e-06  0.5229995      0
     67000   3.7681829     -5.9537681e-06  0.37681829     0
     68000   1.284735      -7.4308791e-06  0.1284735      0
     69000   0.38852885     3.0629713e-06  0.038852885    0
     70000   2.1442763      1.180587e-07   0.21442763     0
     71000   6.0465543      5.0799652e-06  0.60465543     0
     72000   0.90064735     1.0265038e-05  0.090064735    0
     73000   1.2829723      3.5716655e-06  0.12829723     0
     74000   1.631321       5.8825953e-06  0.1631321      0
     75000   7.1005647      6.3781578e-06  0.71005647     0
     76000   0.083945403    2.5257742e-06  0.0083945403   0
     77000   1.2830629     -3.7981735e-06  0.12830629     0
     78000   10.092573      5.000534e-06   1.0092573      0
     79000   1.0921284     -6.1012601e-06  0.10921284     0
     80000   0.31312944    -6.9208571e-06  0.031312944    0
     81000   3.8336554     -9.0239241e-06  0.38336554     0
     82000   4.0915108     -5.2951992e-06  0.40915108     0
     83000   1.4886572     -6.1763107e-06  0.14886572     0
     84000   1.3093032      3.4030597e-06  0.13093032     0
     85000   1.3361925      1.5357215e-06  0.13361925     0
     86000   0.57816269    -4.5629936e-06  0.057816269    0
     87000   1.143607       1.2491862e-06  0.1143607      0
     88000   5.2668263      3.3757199e-06  0.52668263     0
     89000   0.034911435    3.0733316e-06  0.0034911435   0
     90000   0.60085134     1.3542948e-06  0.060085134    0
     91000   4.5360776     -3.3122505e-06  0.45360776     0
     92000   3.3339141      7.9771597e-06  0.33339141     0
     93000   0.95424129    -1.1398354e-06  0.095424129    0
     94000   2.6887191     -9.1292187e-07  0.26887191     0
     95000   2.0961327     -2.6733292e-06  0.20961327     0
     96000   6.8086571      2.3228969e-06  0.68086571     0
     97000   2.2916779     -9.0085866e-06  0.22916779     0
     98000   1.03917       -4.8549291e-06  0.103917       0
     99000   1.1266418      1.1673776e-06  0.11266418     0
    100000   2.8445852      1.0772121e-06  0.28445852     0
    101000   11.891502     -6.8634427e-06  1.1891502      0
    102000   1.0817074     -1.4375634e-06  0.10817074     0
    103000   0.32578117     3.694624e-06   0.032578117    0
    104000   3.6554036     -9.4874473e-06  0.36554036     0
    105000   5.126913       3.6514545e-07  0.5126913      0
    106000   2.018477      -6.6342062e-06  0.2018477      0
    107000   0.76848286    -7.506309e-06   0.076848286    0
    108000   1.1475074     -3.0658254e-06  0.11475074     0
    109000   1.1850806      1.1063085e-05  0.11850806     0
    110000   3.799333       1.2176106e-05  0.3799333      0
    111000   1.538826       6.9424201e-06  0.1538826      0
    112000   1.6665722      2.8898986e-06  0.16665722     0
    113000   1.1347        -2.2448805e-06  0.11347        0
    114000   0.28124222    -2.9074134e-06  0.028124222    0
    115000   5.9182342     -1.6532048e-06  0.59182342     0
    116000   8.0191694      4.0621781e-06  0.80191694     0
    117000   1.4501482      5.2440027e-06  0.14501482     0
    118000   4.1647559     -4.2607575e-06  0.41647559     0
    119000   2.3814404      8.8269653e-06  0.23814404     0
    120000   1.3191467      5.446583e-06   0.13191467     0
    121000   0.21917337    -7.5511581e-07  0.021917337    0
    122000   3.360203       1.2003503e-05  0.3360203      0
    123000   1.5650794     -4.7898033e-06  0.15650794     0
    124000   4.343935       8.6099425e-08  0.4343935      0
    125000   1.5982625     -2.064605e-06   0.15982625     0
    126000   1.5943665     -1.9509769e-06  0.15943665     0
    127000   3.1143802      6.4562825e-06  0.31143802     0
    128000   1.5887707     -6.250591e-06   0.15887707     0
    129000   1.8379041     -5.4737042e-06  0.18379041     0
    130000   3.0990511     -2.6660425e-06  0.30990511     0
    131000   7.2558946     -3.0056008e-06  0.72558946     0
    132000   2.0887635     -4.5462622e-06  0.20887635     0
