fix fLANG all langevin 1.0 1.0 1.0 100
neigh_modify exclude molecule/intra all
fix rigidNVE linked_vesicle rigid/nve molecule
  1 rigid bodies with 5 atoms
fix NVE synapsin nve 1.0 1.0 1.0

    ##======================================##
    ## Output
    ##======================================##

thermo 1000
thermo_style custom step temp press etotal epair
thermo_modify flush yes
timestep 0.01

    ##======================================##
    ## Equilibration before output
    ##======================================##


    ##======================================##
    ## Run with output
    ##======================================##

fix enforce_2d all enforce2d
dump 2 all custom 1000 Results_eps_attr1_eps_rep1_eps_rep_weak0.001_range2_attr_with_repFalse_n_synapsin400_n_vesicles1/Movie_2d_eps_attr1_eps_rep1_eps_rep_weak0.001_range2_attr_with_repFalse_n_synapsin400_n_vesicles1.xyz id type mol x y z
run 1000000
Generated 0 of 3 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 1 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11.52462
  ghost atom cutoff = 11.52462
  binsize = 5.7623102, bins = 55 55 1
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair cosine/squared, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 8.526 | 8.526 | 8.526 Mbytes
   Step          Temp          Press          TotEng         E_pair    
         0   0.99441908    -0.013071225    0.98336998     0            
      1000   1.052877       0.0040548885   1.0411809      2.5044906e-06
      2000   0.97902644     0.0030040622   0.96849889     0.00035052091
      3000   1.0601207      0.0035583022   1.0483416      0            
      4000   1.0466423      0.0043625821   1.0350129      0            
      5000   1.0005436      0.0035020426   0.98945454     2.8061539e-05
      6000   0.97028404     0.0030784247   0.95950311     0            
      7000   0.9429228      0.0035389451   0.9342467      0.001800821  
      8000   1.070792       0.0042930144   1.0588943      0            
      9000   1.099818       0.0040939823   1.0875978      0            
     10000   1.0642281      0.0047822672   1.0522943     -0.00010900216
     11000   0.96178959     0.0044415766   0.95110304     0            
     12000   0.92767019     0.0051517252   0.91735861    -4.1313452e-06
     13000   0.95778136     0.0033326562   0.94690119    -0.00023815806
     14000   1.0603061      0.0044177532   1.048525       0            
     15000   0.96756167     0.0045162568   0.95673436    -7.661573e-05 
     16000   0.96452468     0.0038345874   0.95383622     2.8488409e-05
     17000   1.0117968      0.0052641831   1.0005546      0            
     18000   1.082723       0.00461878     1.0708098      0.00011702663
     19000   1.0025392      0.003971064    0.99139985     0            
     20000   0.99634125     0.0038771094   0.98317333    -0.0020974613 
     21000   0.94575856     0.0043541305   0.93396481    -0.0012853287 
     22000   0.91491106     0.0034707112   0.90249821    -0.0022471665 
     23000   0.90288237     0.0029009817   0.89285034     0            
     24000   0.94682128     0.0046298052   0.93575994    -0.00054109961
     25000   0.96121802     0.0040605572   0.95053782     0            
     26000   0.96541912     0.0033594855   0.95372762    -0.00096462371
     27000   1.008182       0.0057860474   0.99724062     0.00026069477
     28000   1.0261062      0.0050601243   1.014705       0            
     29000   1.0203651      0.0050841318   1.006738      -0.0022896556 
     30000   0.96934314     0.0033081773   0.95692731    -0.0016453456 
     31000   0.98290961     0.0039320922   0.97198839     0            
     32000   1.0558334      0.0048917896   1.0416592     -0.0024426554 
     33000   1.024945       0.0040129634   1.0147707      0.0012140396 
     34000   0.95245868     0.0029999011   0.93940692    -0.0024688901 
     35000   1.0597769      0.0039942331   1.0480016      0            
     36000   0.98422799     0.003573076    0.97329212     0            
     37000   1.0173578      0.0046367906   1.0044312     -0.0016226429 
     38000   0.99593067     0.0040821894   0.98399304    -0.00087173479
     39000   0.90570608     0.0040674144   0.89564268     0            
     40000   1.0311808      0.0046322023   1.0199964      0.00027313651
     41000   0.94174476     0.0048451507   0.93128092     0            
     42000   1.0414065      0.0036907701   1.0298353      0            
     43000   0.99610971     0.0044400129   0.98504182     0            
     44000   1.0436256      0.003452381    1.0320298      0            
     45000   1.0336215      0.0047500605   1.0204392     -0.0016975874 
     46000   1.0436817      0.0049775421   1.0320881      2.8630656e-06
     47000   0.9917834      0.0041025074   0.98076358     0            
     48000   1.0548883      0.0043638058   1.0458593      0.002691985  
     49000   1.0093483      0.0039791754   0.99813328     0            
     50000   0.96873425     0.0037821124   0.95797054     0            
     51000   1.01116        0.0035065076   0.99992489     0            
     52000   1.1015389      0.0043735554   1.0893321      3.2512126e-05
     53000   1.0428035      0.0039738144   1.0312168      0            
     54000   1.0499445      0.0039908577   1.0382784      0            
     55000   0.99028311     0.0036813168   0.97927997     0            
     56000   1.0441442      0.0035743862   1.0325426      0            
     57000   0.99709558     0.0048351056   0.98601674     0            
     58000   0.9795968      0.004059336    0.96871239     0            
     59000   1.016636       0.0036754737   1.004311      -0.0010290221 
     60000   1.0103176      0.0052211055   0.99920318     0.00011136291
     61000   1.0548454      0.0043353756   1.0431249      0            
     62000   0.98082993     0.0037020181   0.96867555    -0.0012562713 
     63000   1.0827842      0.0042804745   1.0682842     -0.0024690096 
