fix fLANG all langevin 1.0 1.0 1.0 100
neigh_modify exclude molecule/intra all
fix rigidNVE linked_vesicle rigid/nve molecule
  1 rigid bodies with 5 atoms
fix NVE synapsin nve 1.0 1.0 1.0

    ##======================================##
    ## Output
    ##======================================##

thermo 1000
thermo_style custom step temp press etotal epair
thermo_modify flush yes
timestep 0.01

    ##======================================##
    ## Equilibration before output
    ##======================================##


    ##======================================##
    ## Run with output
    ##======================================##

fix enforce_2d all enforce2d
dump 2 all custom 1000 Results_eps_attr1_eps_rep1_eps_rep_weak1e-12_range2_attr_with_repFalse_n_synapsin600_n_vesicles1/Movie_2d_eps_attr1_eps_rep1_eps_rep_weak1e-12_range2_attr_with_repFalse_n_synapsin600_n_vesicles1.xyz id type mol x y z
run 1000000
Generated 0 of 3 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 1 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11.52462
  ghost atom cutoff = 11.52462
  binsize = 5.7623102, bins = 55 55 1
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair cosine/squared, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 8.538 | 8.538 | 8.538 Mbytes
   Step          Temp          Press          TotEng         E_pair    
         0   0.99605013    -0.012465183    0.98864149     0            
      1000   0.97933204     0.0066724611   0.97040397    -0.0016437822 
      2000   1.0317397      0.0063271934   1.0246489      0.00058331269
      3000   1.0689063      0.0060233939   1.0602611     -0.00069462713
      4000   0.97284245     0.005373408    0.96445325    -0.0011531766 
      5000   0.99501179     0.0064104431   0.98595799    -0.0016528926 
      6000   1.0173339      0.0060692488   1.0098047      3.7699892e-05
      7000   0.94645278     0.0062163678   0.93941305     0            
      8000   1.0008945      0.0063876474   0.9945241      0.001074262  
      9000   0.95906065     0.0061670299   0.95104189    -0.00088525453
     10000   0.95689986     0.0054161583   0.94971883    -6.3586731e-05
     11000   1.0218092      0.0059120142   1.0121351     -0.0020737801 
     12000   1.0003959      0.006150929    0.99263178    -0.00032318946
     13000   0.99778403     0.0063620281   0.9895868     -0.00077570019
     14000   0.9637308      0.005493536    0.95656461     2.0608632e-06
     15000   1.0023689      0.006358039    0.99391864    -0.00099461728
     16000   0.94290863     0.0071771591   0.93755308     0.0016578169 
     17000   1.0644139      0.0070538177   1.0547276     -0.0017691631 
     18000   0.91859372     0.0046534168   0.90755615    -0.0042050617 
     19000   0.95197932     0.005104061    0.94245587    -0.0024426141 
     20000   1.0415082      0.0060461553   1.0306576     -0.0031038465 
     21000   0.92800195     0.0051515633   0.92155535     0.00045589174
     22000   0.95595113     0.0055290065   0.94854955    -0.00029120085
     23000   0.99026295     0.0059330015   0.98140489    -0.0014924723 
     24000   0.94566386     0.0056616517   0.93813518    -0.00049481385
     25000   1.0393094      0.0071762424   1.031579       0            
     26000   0.95090084     0.0060241447   0.94179534    -0.0020326841 
     27000   1.0276679      0.0067358086   1.0191999     -0.00082417088
     28000   0.99622902     0.0059820506   0.99107433     0.0022552702 
     29000   1.022947       0.0062727653   1.0139805     -0.0013577766 
     30000   1.0258733      0.0058596962   1.0182428      0            
     31000   1.0025184      0.0063038349   0.99362858    -0.0014330643 
     32000   1.0654454      0.0059081659   1.0592864      0.0017657937 
     33000   0.97792054     0.0061846604   0.97021131    -0.00043543759
     34000   0.99751157     0.0070604982   0.98782672    -0.0022653418 
     35000   1.0474556      0.0061310594   1.0366231     -0.0030414536 
     36000   0.9497343      0.005055387    0.94185439    -0.00081576915
     37000   1.0068869      0.0060919297   0.99939765     2.7094554e-13
     38000   1.0023938      0.0073275568   0.9930904     -0.0018475602 
     39000   0.9957094      0.0064363269   0.98651628    -0.0017870131 
     40000   1.0368983      0.0067672972   1.0275883     -0.0015975578 
     41000   1.0429956      0.0079560032   1.0320605     -0.0031773135 
     42000   0.91284542     0.0051968156   0.90223498    -0.0038206743 
     43000   0.96927169     0.0052595422   0.96040934    -0.0016528926 
     44000   1.034533       0.0068407448   1.0272692      0.00043107769
     45000   1.075771       0.0058410486   1.0672264     -0.00054300143
     46000   0.94804921     0.0046710958   0.9409976      0            
     47000   0.99477463     0.0058789853   0.98765231     0.0002768314 
     48000   0.98497576     0.0060795636   0.9776495      0            
     49000   1.028093       0.0068624729   1.0192798     -0.0011662068 
     50000   0.93838405     0.0054966002   0.93028869    -0.0011156464 
     51000   1.0253076      0.0061407042   1.0173976     -0.00028370519
     52000   0.9242982      0.0058527904   0.91679776    -0.00062550206
     53000   1.0116968      0.0064229202   1.0067195      0.0025476775 
     54000   1.0177193      0.006046191    1.009911      -0.00023851387
     55000   1.0173099      0.0055450851   1.0080947     -0.0016483891 
     56000   0.95085173     0.0063638438   0.94266546    -0.0011138173 
     57000   1.0125058      0.0059436215   1.0035674     -0.0014073935 
     58000   0.93563471     0.0059172759   0.92836412    -0.00031132842
     59000   1.0258725      0.0067784329   1.0182816      3.948973e-05 
     60000   0.97026703     0.0056062492   0.96305017     0            
     61000   0.98765561     0.005651508    0.98027707    -3.2336509e-05
     62000   0.97305873     0.0076792127   0.96572986    -9.1244503e-05
     63000   0.95613241     0.005255734    0.94880317    -0.00021750841
     64000   1.036686       0.0065110899   1.0289751      1.917135e-11 
     65000   1.0121155      0.0063206648   1.0045874      0            
     66000   0.96601824     0.0061210889   0.95753063    -0.00130235   
     67000   1.0485661      0.006521065    1.0381856     -0.00258125   
     68000   0.94000287     0.0052075204   0.93152458    -0.0014865342 
     69000   0.979802       0.0056837423   0.97243104    -8.3177506e-05
     70000   0.99280961     0.0068394612   0.98542507     0            
     71000   0.9810546      0.0057951406   0.97380165     4.4154936e-05
     72000   1.0408186      0.006938211    1.033077       0            
     73000   1.0449878      0.005684221    1.0372334      1.8263068e-05
     74000   0.99070135     0.0065224174   0.98333249     0            
     75000   0.9453019      0.0060998092   0.93830546     3.4736137e-05
     76000   1.0197893      0.005964282    1.0126025      0.00039838812
     77000   0.94700633     0.0053693083   0.93996248     0            
     78000   1.014512       0.0063002576   1.0069661      0            
     79000   0.97111944     0.0063015883   0.96387583    -2.0416722e-05
     80000   1.0318973      0.0065242717   1.0238859     -0.00033619719
     81000   0.95531519     0.005947085    0.94842698     0.00021743671
     82000   0.97370273     0.0053841041   0.96671069     0.00025037827
     83000   0.97036301     0.0068318867   0.9642906      0.001145164  
     84000   1.0463109      0.0056697865   1.0385285      0            
     85000   0.95181358     0.0056165083   0.94473397     0            
     86000   0.92717205     0.0062911312   0.92027573     0            
     87000   0.93992311     0.006138381    0.93311844     0.00018648788
     88000   0.99828601     0.006066181    0.99003857    -0.00082217986
     89000   1.0047069      0.0063878798   0.99723385     0            
     90000   0.98652005     0.0060903593   0.97815836    -0.0010239396 
     91000   1.039215       0.0070588483   1.0306267     -0.0008586002 
     92000   1.0302796      0.0062089204   1.0226164      0            
     93000   0.98052085     0.0061892816   0.97582783     0.0026001112 
     94000   1.0056644      0.006191916    0.99736454    -0.00081973681
     95000   1.017707       0.0066234326   1.0101373      0            
     96000   0.97490551     0.0048998695   0.96762979    -2.4364057e-05
     97000   1.0183777      0.0065978658   1.010803       0            
     98000   1.0143498      0.0066889542   1.0068051      0            
     99000   1.0058677      0.0051298799   0.99838607     0            
    100000   1.0182574      0.0072451432   1.0106836      0            
    101000   1.0118952      0.0078145968   1.0033582     -0.001010523  
    102000   1.057664       0.0068278454   1.0485054     -0.0012916485 
    103000   0.97266609     0.0056073788   0.96241284    -0.0030185423 
    104000   0.9798691      0.0059905608   0.97239307    -0.00018775137
    105000   1.0121268      0.0066046047   1.0044072     -0.0001914018 
    106000   1.0308369      0.0066868354   1.0227372     -0.00043230184
    107000   0.92288378     0.00569365     0.91356842    -0.0024509416 
    108000   0.94687214     0.0065158757   0.93819175    -0.001637541  
    109000   0.98557041     0.0066671901   0.97665658    -0.001583146  
    110000   1.0242154      0.0060071792   1.0155656     -0.0010316202 
    111000   0.98765183     0.0056647131   0.97895151    -0.0013541507 
    112000   0.96681639     0.0056203495   0.95948592    -0.00013927535
    113000   1.014712       0.0063520614   1.002765      -0.0043995494 
    114000   0.98708628     0.0069608295   0.97737076    -0.0023735629 
    115000   1.0231765      0.0057098061   1.0159298      0.00036369971
    116000   1.0211825      0.0057100362   1.0120905     -0.0014964385 
    117000   1.0298761      0.0074066019   1.0212089     -0.0010070029 
    118000   1.0028249      0.0063161366   0.99371321    -0.0016526784 
    119000   0.98970862     0.0062480744   0.98191663    -0.00043051783
    120000   1.0213319      0.0059035237   1.0144408      0.00070556896
    121000   1.010204       0.0057211912   1.0004236     -0.0022664876 
    122000   1.0609951      0.0056548122   1.0514635     -0.0016399201 
    123000   1.0359794      0.0061636221   1.0282737      1.5246754e-13
    124000   0.978979       0.0056590018   0.97187865     0.00018131736
    125000   0.97266768     0.0059425636   0.96485246    -0.00058050204
    126000   1.0430393      0.0063348378   1.0329231     -0.0023580157 
    127000   1.0073082      0.0065683741   0.99790265    -0.0019132044 
    128000   0.97949196     0.0060544562   0.97070078    -0.0015056973 
    129000   0.97390558     0.0056247969   0.96505863    -0.0016030252 
    130000   1.0031794      0.005721773    0.99356604    -0.0021517318 
    131000   1.0837443      0.0058079968   1.0758297      0.00014625038
    132000   0.98433094     0.0054445558   0.97658715    -0.00042232975
    133000   0.9898051      0.0053985045   0.98193649    -0.00050641936
    134000   1.0165221      0.0061313837   1.0070803     -0.0018809216 
    135000   1.0867885      0.006650437    1.0783357     -0.00036924082
    136000   0.98632476     0.0068366951   0.9774391     -0.0015493612 
    137000   1.0369215      0.0061286958   1.0276955     -0.001513404  
    138000   0.98316536     0.0052513523   0.97430626    -0.0015463035 
    139000   1.0055459      0.0058759995   0.99888952     0.0008229079 
    140000   1.0349419      0.0060006248   1.0253583     -0.0018856739 
    141000   0.98119324     0.0067400692   0.97225521    -0.0016399023 
    142000   1.0139223      0.0054483653   1.0041995     -0.0021811824 
    143000   1.0589279      0.0063700405   1.0493107     -0.0017408897 
    144000   1.0065182      0.0061515233   0.99484419    -0.0041875269 
    145000   1.0048063      0.004418269    0.99578493    -0.0015475499 
    146000   0.94240861     0.0053950092   0.93435028    -0.0010486795 
    147000   0.96732866     0.0057990702   0.95891975    -0.0012138969 
    148000   0.9314085      0.0059214709   0.92371595    -0.000764723  
    149000   1.0003309      0.0073776375   0.99289041     0            
    150000   0.94393034     0.004944084    0.93690937     0            
    151000   1.0196616      0.0073438491   1.0097254     -0.0023519063 
    152000   1.0697454      0.0066428677   1.0626235      0.00083489972
    153000   0.96513959     0.0057389092   0.95749214    -0.00046873114
    154000   1.0067344      0.00601511     0.99802541    -0.0012208793 
    155000   0.93066318     0.0051795113   0.92333782    -0.00040307158
    156000   1.0013449      0.0062418607   0.99229713    -0.0015997105 
    157000   1.032839       0.0064687356   1.0225657     -0.0025909591 
    158000   1.0466897      0.0072611086   1.0389044      4.2002904e-14
    159000   0.92695018     0.0060754136   0.91840262    -0.0016528926 
    160000   1.0230574      0.0067398372   1.0147492     -0.00069868998
    161000   0.99590346     0.0061615032   0.98825219    -0.00024371915
    162000   0.96590403     0.0053258362   0.95871962     0            
    163000   0.93855817     0.0064727884   0.93360688     0.0020297194 
    164000   1.0233412      0.0073817841   1.0157295      0            
    165000   0.97199581     0.0063321031   0.96369226    -0.0010738338 
    166000   0.98226144     0.0064819948   0.97376407    -0.001191293  
    167000   0.98736674     0.0058998605   0.98002269     0            
    168000   1.0924222      0.006493467    1.0841894     -0.0001073109 
    169000   0.96710713     0.006417234    0.95719114    -0.0027226352 
    170000   0.97954377     0.0054636572   0.97113312    -0.0011247845 
    171000   0.96989798     0.0059213975   0.96268386     0            
    172000   1.0439956      0.0071069637   1.0362303      0            
    173000   1.007624       0.0061000491   1.0010653      0.00093610475
    174000   1.01722        0.0063263684   1.0098249      0.00017097369
    175000   0.92106393     0.0058208743   0.91421305     0            
    176000   1.0089964      0.0050406323   1.00177        0.00027854533
    177000   1.0301771      0.0070824037   1.0225146      0            
    178000   0.96356664     0.0056660872   0.95639961     0            
    179000   1.0234366      0.0066955285   1.0158242      0            
    180000   0.98766521     0.0054143365   0.97977194    -0.00054699169
    181000   1.033578       0.0054573121   1.0258902      0            
    182000   1.0825919      0.006390365    1.0735456     -0.00099394478
    183000   1.0119742      0.0063665747   1.0069119      0.0024647988 
    184000   1.0230734      0.0062684202   1.0151827     -0.00028106277
    185000   1.0399705      0.0069684157   1.031533      -0.0007021594 
    186000   0.97480933     0.005970756    0.96710343    -0.00045525626
    187000   1.0070885      0.0053285845   0.99796821    -0.0016295443 
    188000   1.0540719      0.0071355789   1.0462317      1.9944461e-12
    189000   1.0170167      0.0059874503   1.0094777      2.5629661e-05
    190000   1.002106       0.0055879926   0.99461644    -3.5841356e-05
    191000   1.004684       0.0067640144   0.99721118     0            
    192000   1.0432325      0.0054834911   1.0344592     -0.0010137385 
    193000   1.0148737      0.0067910208   1.0040925     -0.0032326273 
    194000   0.99112382     0.0072089346   0.98302251    -0.00072931624
    195000   1.0039365      0.0058214985   0.99414821    -0.0023209893 
    196000   1.0237224      0.0062992372   1.0135987     -0.0025092046 
    197000   1.0495898      0.0049102255   1.0384486     -0.0033343298 
    198000   1.075979       0.006357253    1.0667947     -0.0011812122 
    199000   1.0375691      0.0070669566   1.0278991     -0.0019525637 
    200000   0.94273772     0.0065571541   0.93503538    -0.00069024127
    201000   1.0117032      0.0069473509   1.0011422     -0.0030359895 
    202000   0.99203965     0.0057885279   0.98205121    -0.0026096354 
    203000   0.99663452     0.0057724012   0.99220975     0.0029882065 
    204000   1.0093488      0.0060445131   1.0018413      6.8401004e-13
    205000   1.0497275      0.0064752666   1.0412267     -0.00069293806
    206000   0.90461304     0.0057753742   0.89788453     1.730606e-08 
    207000   0.99580261     0.0057808107   0.98838139    -1.4421968e-05
    208000   0.99078125     0.0063860209   0.9834118      0            
    209000   1.045554       0.0068449692   1.0377772      0            
    210000   0.99931868     0.0075403359   0.9907703     -0.0011154282 
    211000   0.9834752      0.0055211344   0.97330783    -0.0028522706 
    212000   1.0116692      0.0061146043   1.0041382     -6.260918e-06 
    213000   1.0104089      0.0063605684   1.0028935      0            
    214000   1.0257271      0.0056887498   1.0180979      1.1756868e-07
    215000   1.0131005      0.0068513686   1.005042      -0.00052312343
    216000   1.0151752      0.0068628217   1.0075224     -0.00010191783
    217000   0.98057476     0.0052543728   0.97223325    -0.001047978  
    218000   1.0437818      0.0061219988   1.0360181      0            
    219000   1.0783161      0.0057456572   1.0701573     -0.00013829605
    220000   0.90559073     0.0063418492   0.89739435    -0.0014605774 
    221000   1.0176561      0.006681055    1.0100868      0            
    222000   1.0051909      0.0065586747   0.99771428     0            
    223000   0.98206709     0.0064506037   0.97312223    -0.0016402309 
    224000   0.98402896     0.0065266745   0.97505685    -0.0016528926 
    225000   1.0167042      0.006440373    1.009204       6.2048105e-05
    226000   1.042878       0.0055714095   1.0351211      0            
    227000   0.92959162     0.0061141791   0.9226773      1.0250892e-15
    228000   0.99584894     0.0053527717   0.9884418      0            
    229000   0.97736473     0.0060253185   0.97009507     0            
    230000   1.0467035      0.0066154158   1.0388095     -0.0001086425 
    231000   0.99874064     0.0068901171   0.99132934     1.73443e-05  
    232000   0.996417       0.0071670821   0.98869351    -0.00031212272
    233000   1.0447701      0.0059546791   1.0369335     -6.5628576e-05
    234000   1.0252357      0.006579267    1.0161824     -0.0014275759 
    235000   1.0345396      0.0063867186   1.0250523     -0.0017924007 
    236000   1.0476008      0.0070775722   1.0398088      0            
    237000   0.98609958     0.0051478248   0.9765799     -0.002185053  
    238000   0.99383735     0.0066594208   0.98634186    -0.00010330953
    239000   1.0002425      0.0068422832   0.99198974    -0.00081294443
    240000   0.97937919     0.0066671022   0.97209455     5.4213721e-14
    241000   0.9957172      0.0061648072   0.98681537    -0.0014956728 
    242000   0.94752435     0.0057770115   0.94003956    -0.00043708159
    243000   1.0113846      0.0061655927   1.0038619      0            
    244000   0.97555236     0.0062772848   0.96829618     0            
    245000   0.94928563     0.0060761245   0.94113164    -0.001093184  
    246000   1.0321673      0.0067463412   1.02449        0            
    247000   0.99130567     0.007075648    0.98393232     0            
    248000   0.9698949      0.0054927773   0.96261259    -6.8219597e-05
    249000   0.95051687     0.0057554211   0.94250678    -0.00094012395
    250000   1.0465672      0.0064487128   1.0375114     -0.0012714491 
    251000   1.0037987      0.0059947018   0.99495265    -0.0013797906 
    252000   0.95417735     0.0067814306   0.94606431    -0.0010158464 
    253000   1.0076953      0.0068038991   0.99923926    -0.00096081661
    254000   1.0027929      0.0064785986   0.9941054     -0.0012286655 
    255000   1.0580032      0.0054729257   1.049731      -0.00040270189
    256000   1.0044423      0.0065295652   0.99677735    -0.00019390405
    257000   0.96132095     0.0055831706   0.95319982    -0.00097081234
    258000   1.0287981      0.0060638713   1.0210708     -7.5125897e-05
    259000   1.0430152      0.0062734988   1.034626      -0.00063126406
    260000   0.93446063     0.0054344298   0.92595862    -0.0015514744 
    261000   1.0230403      0.0055330395   1.0129442     -0.0024866996 
    262000   0.9498675      0.0063014264   0.94216282    -0.00063955412
    263000   1.0336888      0.0067125163   1.025875      -0.00012512777
    264000   0.93000223     0.0047838315   0.92159673    -0.001488126  
    265000   0.99529037     0.0060086409   0.98751846    -0.00036892978
    266000   0.99088726     0.0058752501   0.98247617    -0.0010408555 
    267000   0.99499111     0.0061771693   0.98717382    -0.00041653369
    268000   1.0231617      0.0062953009   1.0155445     -6.8955984e-06
    269000   1.0282314      0.0060971058   1.0194493     -0.0011340728 
    270000   1.0471313      0.0075088409   1.0378451     -0.0014976814 
    271000   1.0299795      0.0068375437   1.0206772     -0.0016413563 
    272000   1.0038845      0.0062027885   0.9940889     -0.0023286532 
    273000   1.011727       0.0059526894   1.0048046      0.00060285891
    274000   1.0208984      0.0063561483   1.013305       0            
    275000   0.93861696     0.0049609997   0.93000539    -0.0016301239 
    276000   1.0305019      0.0068918429   1.0222862     -0.00055075185
    277000   1.0492013      0.0067302676   1.0415404      0.00014312818
    278000   0.95416686     0.0052281478   0.94706975     0            
    279000   0.97582064     0.0060881352   0.96856247     0            
    280000   1.1101868      0.0065923225   1.1019292      0            
    281000   1.0508061      0.007139315    1.0429902      0            
    282000   1.0472615      0.0060640628   1.0387131     -0.00075883036
    283000   0.99790239     0.0063809589   0.99096533     0.00048534809
