fix fLANG all langevin 1.0 1.0 1.0 100
fix NVE all nve 1.0 1.0 1.0

    ##======================================##
    ## Output
    ##======================================##

thermo 1000
thermo_style custom step temp press etotal epair
thermo_modify flush yes
timestep 0.01

    ##======================================##
    ## Equilibration before output
    ##======================================##


    ##======================================##
    ## Run with output
    ##======================================##

fix enforce_2d all enforce2d
dump 2 all custom 1000 Results_eps_attr5_eps_rep1_eps_rep_weak0_range2_attr_with_repFalse_n_synapsin300_n_vesicles0/Movie_2d_eps_attr5_eps_rep1_eps_rep_weak0_range2_attr_with_repFalse_n_synapsin300_n_vesicles0.xyz id type mol x y z
run 1000000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 1 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 190 190 1
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair cosine/squared, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 7.419 | 7.419 | 7.419 Mbytes
   Step          Temp          Press          TotEng         E_pair    
         0   1              0.00613376     0.99833333     0            
      1000   1.105407       0.006514146    0.98391043    -0.11965419   
      2000   1.0961327      0.006162783    0.70322656    -0.39107929   
      3000   1.0275588      0.005342095    0.37702319    -0.64882304   
      4000   1.0498263      0.0050738035   0.19064628    -0.85743035   
      5000   1.0479654      0.0048552374  -0.015953581   -1.0621724    
      6000   0.99421079     0.0042919248  -0.17093919    -1.163493     
      7000   0.98078263     0.0043400711  -0.26734296    -1.2464909    
      8000   0.92573898     0.0039309352  -0.43311157    -1.3573077    
      9000   1.0346562      0.0046305838  -0.56583512    -1.5987669    
     10000   0.97710501     0.0044362545  -0.72098364    -1.6964601    
     11000   1.000299       0.0038169596  -0.85220141    -1.8508332    
     12000   1.0433983      0.0035628369  -0.98484462    -2.0265039    
     13000   1.0073027      0.0036917433  -1.229489      -2.2351129    
     14000   0.9548783      0.0034364054  -1.3447075     -2.2979944    
     15000   0.98056357     0.0031303148  -1.346279      -2.3252083    
     16000   0.99781649     0.0033939132  -1.4991482     -2.4953017    
     17000   0.99026843     0.0032697779  -1.5617326     -2.5503506    
     18000   0.97431969     0.0030661683  -1.6965095     -2.6692054    
     19000   1.053202       0.0035873952  -1.7288239     -2.7802706    
     20000   1.0631906      0.0034734065  -1.8514532     -2.9128718    
     21000   1.1017933      0.0044459277  -1.9529209     -3.0528779    
     22000   0.9901873      0.0035284465  -2.0607482     -3.0492852    
     23000   0.99994402     0.0035537369  -2.1062355     -3.1045129    
     24000   1.0494224      0.0034569138  -2.1397878     -3.1874612    
     25000   1.0399698      0.0035614568  -2.359596      -3.3978325    
     26000   0.98631877     0.0026286358  -2.3770642     -3.3617391    
     27000   1.0471088      0.0035842451  -2.7213402     -3.7667038    
     28000   0.97307487     0.0026587593  -2.8806781     -3.8521312    
     29000   1.0067448      0.002619781   -2.9281419     -3.9332088    
     30000   1.0304011      0.0030856215  -3.0326538     -4.0613375    
     31000   0.99230365     0.0022801561  -3.1606482     -4.151298     
     32000   0.94734504     0.0016590637  -3.3589445     -4.3047106    
     33000   1.0405842      0.0028851106  -3.4494523     -4.4883022    
     34000   0.97756124     0.0015732674  -3.449729      -4.425661     
     35000   1.0185752      0.0019922837  -3.3545874     -4.371465     
     36000   0.95469286     0.001762807   -3.6942835     -4.6473852    
     37000   1.0134325      0.0019342232  -3.720389      -4.7321324    
     38000   0.92075122     0.0023158376  -4.0205171     -4.9397337    
     39000   0.96273879     0.002232017   -4.0342755     -4.9954097    
     40000   0.93774677     0.0014791625  -4.1144531     -5.050637     
     41000   0.9762974      0.0040763474  -4.2848789     -5.2595492    
     42000   0.96418629     0.0021299798  -4.3375835     -5.3001628    
     43000   0.99263648     0.0025127317  -4.2926741     -5.2836562    
     44000   0.99208678     0.0018406889  -4.3847543     -5.3751876    
     45000   0.92651324     0.0017495799  -4.6340998     -5.5590688    
     46000   0.99348735     0.001450446   -4.803684      -5.7955155    
     47000   1.0283155      0.003557876   -4.9358109     -5.9624125    
     48000   1.0342998      0.0018590929  -5.0062069     -6.0387829    
     49000   1.0541216      0.0026461819  -5.1877776     -6.2401423    
     50000   1.0722189      0.0023046777  -5.2568789     -6.3273107    
     51000   0.95255962     0.00051619076 -5.4234069     -6.3743789    
     52000   0.95962557     0.0011409516  -5.5763784     -6.5344046    
     53000   1.0105407      0.0030583297  -5.78504       -6.7938964    
     54000   1.0630077      0.0016028461  -5.7325482     -6.7937842    
     55000   1.0287978      0.0021006375  -5.881344      -6.9084271    
     56000   0.93737578     0.00094256464 -5.9795579     -6.9153714    
     57000   0.97309628     0.0036698379  -6.0073795     -6.978854     
     58000   1.0150064      0.001305156   -6.1070418     -7.1203565    
     59000   1.0403052      0.00088129393 -6.1527085     -7.1912799    
     60000   1.0771695      0.002231117   -6.3000429     -7.3754171    
     61000   0.94676071     0.0023131131  -6.4293157     -7.3744984    
     62000   0.97464736     0.00069197755 -6.4059838     -7.3790068    
     63000   0.97293058     0.0020259749  -6.5951847     -7.5664938    
     64000   1.0216317      0.0016714054  -6.6680938     -7.6880228    
     65000   0.9868851      0.00043065226 -6.789759      -7.7749993    
     66000   1.0591142      0.0037768512  -6.7192203     -7.7765693    
     67000   0.99897345     0.0019112269  -6.7349659     -7.7322744    
     68000   0.99044059     0.0009535896  -6.8959299     -7.8847198    
     69000   1.049767       0.0023964441  -6.9378891     -7.9859064    
     70000   0.99842034     0.0013485306  -7.0575441     -8.0543004    
     71000   1.0602464      0.001576676   -7.1027522     -8.1612315    
     72000   0.94994912    -0.00023544516 -7.4033277     -8.3516936    
     73000   0.98732611     0.00131596    -7.3345223     -8.3202029    
     74000   1.0310589      0.0019957741  -7.4851655     -8.514506     
     75000   0.97105412     0.0012022447  -7.5300945     -8.4995302    
     76000   1.0031224      0.0023875377  -7.5188469     -8.5202975    
     77000   0.99936013     0.00071504434 -7.5369019     -8.5345965    
     78000   1.0075831      0.0013726598  -7.6656297     -8.6715335    
     79000   0.9928974      0.0020542603  -7.7067161     -8.6979587    
     80000   1.0838175      0.0014894611  -7.6201757     -8.7021869    
     81000   1.0176765      0.0014964983  -7.769214      -8.7851944    
     82000   0.95533547     0.0013767515  -7.8339825     -8.7877257    
     83000   1.0527041      0.0015109008  -7.8579257     -8.9088753    
     84000   0.90586921     9.7525914e-05 -7.9069112     -8.8112706    
     85000   0.95248217     0.00020254447 -7.932603      -8.8834977    
     86000   0.97138976     0.0030199688  -7.8653009     -8.8350717    
     87000   1.0055938      0.00082725384 -8.1834139     -9.1873317    
     88000   1.0194874      0.0025174145  -8.2769107     -9.2946989    
     89000   1.0156697      0.00068928718 -8.2296105     -9.2435874    
     90000   1.0517906      0.0015791258  -8.2467876     -9.2968252    
     91000   0.94216426     0.00093771321 -8.3586108     -9.2992048    
     92000   1.0230118      0.00049997386 -8.2019721     -9.2232789    
     93000   0.95592929     0.0025216219  -8.6906999     -9.645036     
