fix fLANG all langevin 1.0 1.0 1.0 100
fix NVE all nve 1.0 1.0 1.0

    ##======================================##
    ## Output
    ##======================================##

thermo 1000
thermo_style custom step temp press etotal epair
thermo_modify flush yes
timestep 0.01

    ##======================================##
    ## Equilibration before output
    ##======================================##


    ##======================================##
    ## Run with output
    ##======================================##

fix enforce_2d all enforce2d
dump 2 all custom 1000 Results_eps_attr5_eps_rep1_eps_rep_weak0_range2_attr_with_repFalse_n_synapsin400_n_vesicles0/Movie_2d_eps_attr5_eps_rep1_eps_rep_weak0_range2_attr_with_repFalse_n_synapsin400_n_vesicles0.xyz id type mol x y z
run 1000000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 1 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 3.3
  ghost atom cutoff = 3.3
  binsize = 1.65, bins = 190 190 1
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair cosine/squared, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 7.407 | 7.407 | 7.407 Mbytes
   Step          Temp          Press          TotEng         E_pair    
         0   1              0.00408576     0.9975         0            
      1000   0.9997026      0.0040845449   0.99720335     0            
      2000   1.0138472      0.0041423363   1.0113126      0            
      3000   1.0301182      0.0042088156   1.0275429      0            
      4000   1.1186648      0.004570596    1.1158682      0            
      5000   1.0276463      0.0041987162   1.0250772      0            
      6000   0.98995127     0.0040447033   0.98747639     0            
      7000   1.0650817      0.0043516683   1.062419       0            
      8000   0.9744139      0.0039812213   0.97197787     0            
      9000   1.0294012      0.0042058863   1.0268277      0            
     10000   1.004843       0.0041055475   1.0023309      0            
     11000   1.0142744      0.0041440819   1.0117387      0            
     12000   0.8841559      0.0036124488   0.88194551     0            
     13000   1.026035       0.0041921327   1.0234699      0            
     14000   0.98022131     0.0040143134   0.97781589     4.5132942e-05
     15000   0.91847359     0.0037526627   0.91617741     0            
     16000   1.0089285      0.0041222395   1.0064061      0            
     17000   0.98598825     0.0040285113   0.98352328     0            
     18000   1.0277241      0.004199034    1.0251548      0            
     19000   1.0383625      0.0042425001   1.0357666      0            
     20000   1.0535391      0.0043045077   1.0509052      0            
     21000   0.92591128     0.0037830513   0.9235965      0            
     22000   1.048228       0.0042828082   1.0456075      0            
     23000   1.016476       0.0041530769   1.0139348      0            
     24000   0.91309492     0.0037306867   0.91081218     0            
     25000   1.0062507      0.0041112988   1.0037351      0            
     26000   0.98779258     0.0040358834   0.9853231      0            
     27000   0.99840173     0.0040792298   0.99590572     0            
     28000   1.1233821      0.0045898697   1.1205737      0            
     29000   0.92804279     0.0038375462   0.92634171     0.00061902771
     30000   0.97119205     0.0039680576   0.96876407     0            
     31000   0.99535096     0.0040667651   0.99286258     0            
     32000   1.0551893      0.0043112504   1.0525514      0            
     33000   1.0466569      0.0042763889   1.0440403      0            
     34000   1.0334785      0.0042225451   1.0308948      0            
     35000   1.0494058      0.0042876201   1.0467822      0            
     36000   1.0146193      0.0041454909   1.0120827      0            
     37000   1.0144335      0.0041447318   1.0118974      0            
     38000   1.0284114      0.0042018421   1.0258404      0            
     39000   1.1458346      0.0046816053   1.1429701      0            
     40000   1.0576599      0.0043213445   1.0550157      0            
     41000   1.0166529      0.0041557334   1.0141136      2.3321162e-06
     42000   0.88922799     0.0036625484   0.88731698     0.00031206037
     43000   1.0114397      0.0041324997   1.0089111      0            
     44000   1.0358287      0.0042321475   1.0332391      0            
     45000   1.0281188      0.0042006466   1.0255485      0            
     46000   0.97123902     0.0039682495   0.96881092     0            
     47000   0.98552308     0.0040266108   0.98305927     0            
     48000   1.0778457      0.004403819    1.0751511      0            
     49000   1.0368505      0.0042363223   1.0342584      0            
     50000   1.0617181      0.0043379254   1.0590638      0            
     51000   1.046064       0.0042739663   1.0434488      0            
     52000   1.0416126      0.0042557791   1.0390086      0            
     53000   0.96848958     0.003957016    0.96606835     0            
     54000   1.0295815      0.0042209636   1.0271028      9.5333577e-05
     55000   1.0291996      0.0042050628   1.0266267      0            
     56000   1.0687056      0.0043666099   1.0660339      1.2061349e-08
     57000   1.039693       0.0042713117   1.0373099      0.00021611601
     58000   0.93759435     0.0038307855   0.93525036     0            
     59000   1.0196934      0.0041662227   1.0171442      0            
     60000   0.9464937      0.0038695916   0.94413114     3.6736815e-06
     61000   0.92671802     0.0037863474   0.92440122     0            
     62000   1.061204       0.0043358247   1.058551       0            
     63000   0.97134089     0.0039686657   0.96891253     0            
     64000   1.0732488      0.004385037    1.0705657      0            
     65000   0.95233778     0.0038910236   0.94995694     0            
     66000   0.97304318     0.0039762652   0.97061085     2.6928131e-07
     67000   1.002128       0.0040944543   0.99962264     0            
