fix fLANG all langevin 1.0 1.0 1.0 100
neigh_modify exclude molecule/intra all
fix rigidNVE linked_vesicle rigid/nve molecule
  1 rigid bodies with 5 atoms
fix NVE synapsin nve 1.0 1.0 1.0

    ##======================================##
    ## Output
    ##======================================##

thermo 1000
thermo_style custom step temp press etotal epair
thermo_modify flush yes
timestep 0.01

    ##======================================##
    ## Equilibration before output
    ##======================================##


    ##======================================##
    ## Run with output
    ##======================================##

fix enforce_2d all enforce2d
dump 2 all custom 1000 Results_eps_attr9_eps_rep1_range2_attr_with_repFalse_n_synapsin400_n_vesicles1/Movie_2d_eps_attr9_eps_rep1_range2_attr_with_repFalse_n_synapsin400_n_vesicles1.xyz id type mol x y z
run 1000000
Generated 0 of 3 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 1 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11.52462
  ghost atom cutoff = 11.52462
  binsize = 5.7623102, bins = 55 55 1
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair cosine/squared, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 8.526 | 8.526 | 8.526 Mbytes
   Step          Temp          Press          TotEng         E_pair    
         0   0.99441908    -0.013071225    0.98336998     0            
      1000   1.052877       0.0040548885   1.0411809      2.5044906e-06
      2000   0.97902644     0.0030040622   0.96849889     0.00035052091
      3000   1.0601207      0.0035583022   1.0483416      0            
      4000   1.0466423      0.0043625821   1.0350129      0            
      5000   1.0005436      0.0035020426   0.98945454     2.8061539e-05
      6000   0.97028404     0.0030784247   0.95950311     0            
      7000   0.9429228      0.0035389451   0.9342467      0.001800821  
      8000   1.070792       0.0042930144   1.0588943      0            
      9000   1.099818       0.0040939823   1.0875978      0            
     10000   1.0698633      0.0046460153   1.0419779     -0.015998049  
     11000   0.96773284     0.0038713573   0.9351883     -0.021791952  
     12000   0.92909587     0.0040535004   0.89693903    -0.021833557  
     13000   0.96663697     0.0032472566   0.9342275     -0.021669062  
     14000   1.0497537      0.0052217579   0.99731303    -0.040776701  
     15000   0.96222908     0.0046542533   0.91111565    -0.040421999  
     16000   0.96312344     0.0044675777   0.91306109    -0.039360983  
     17000   1.0004807      0.0049020909   0.95292113    -0.036443137  
     18000   1.0833716      0.004382009    1.031026      -0.040308105  
     19000   0.99088527     0.003784439    0.91746764    -0.062407792  
     20000   0.99474508     0.0046722552   0.92086607    -0.062826293  
     21000   0.94407957     0.003515466    0.88566715    -0.047922655  
     22000   0.89037306     0.0026704048   0.81868999    -0.061790031  
     23000   0.9142004      0.0037601887   0.828697      -0.075345616  
     24000   0.96500147     0.0037207678   0.88136458    -0.072914652  
     25000   0.96251855     0.0043114883   0.87216777    -0.079656121  
     26000   0.9554364      0.0039039381   0.88024634    -0.064574096  
     27000   1.0077906      0.0043222542   0.91611486    -0.080478058  
     28000   1.0434371      0.0044197705   0.9353346     -0.096508792  
     29000   1.0372742      0.004745344    0.92893693    -0.096811986  
     30000   0.95801912     0.0037656251   0.84843922    -0.098935244  
     31000   1.0102692      0.0037606176   0.89394231    -0.10510163   
     32000   1.0464434      0.0045631868   0.9321734     -0.10264287   
     33000   1.0238518      0.0036298291   0.9104758     -0.10199987   
     34000   0.9458582      0.003488429    0.83539482    -0.099953841  
     35000   1.0647375      0.0038150019   0.95286515    -0.10004192   
     36000   0.98598277     0.0034420227   0.86976576    -0.10526164   
     37000   1.0154598      0.0055593543   0.90909288    -0.095084062  
     38000   0.98647887     0.0037438495   0.87701206    -0.098505934  
     39000   0.90886095     0.0043168927   0.7952691     -0.1034934    
     40000   1.0371363      0.0037475962   0.92787912    -0.097733436  
     41000   0.95111106     0.0021394075   0.84850321    -0.092039956  
     42000   1.0535108      0.0044260752   0.94008328    -0.10172188   
     43000   0.9896128      0.0050641273   0.88068321    -0.097933893  
     44000   1.0536758      0.0053398859   0.94202362    -0.099944652  
     45000   1.0203049      0.0040891842   0.91001209    -0.098956052  
     46000   1.0329215      0.0028794344   0.93573703    -0.085707587  
     47000   0.99739462     0.0039239834   0.8836551     -0.10265736   
     48000   1.0458546      0.0036430349   0.93636305    -0.09787099   
     49000   1.0019675      0.0033619464   0.88864917    -0.10218539   
     50000   0.95857673     0.0033716195   0.86601709    -0.081908789  
     51000   1.0157673      0.0048065498   0.92165542    -0.082825573  
     52000   1.1024992      0.0044907129   1.010506      -0.079743214  
     53000   1.0411297      0.0034795974   0.94164465    -0.08791693   
     54000   1.0489694      0.0043654417   0.93354236    -0.10377182   
     55000   1.0009463      0.0033530045   0.90165633    -0.088168311  
     56000   1.0449535      0.0037094765   0.90803759    -0.12530528   
     57000   0.98986438     0.0050978773   0.85156155    -0.12730433   
     58000   0.96920253     0.0039599861   0.83587908    -0.12255453   
     59000   1.0084856      0.0031891947   0.87625597    -0.12102426   
     60000   1.0312038      0.0029413485   0.90293024    -0.11681578   
